bigram phrase,frequency
i love,471
i am,437
love you,332
and i,188
i have,180
thank you,171
you all,164
i would,161
that i,157
all of,137
my family,137
like to,133
i want,126
want to,124
am sorry,122
would like,122
i hope,109
to say,106
to the,105
you i,99
you for,92
to my,92
i will,90
for the,89
forgive me,85
family i,84
in the,83
going to,82
to be,78
of you,77
you have,76
sorry for,76
me i,76
i know,75
all i,75
that you,74
of the,72
i did,70
the lord,64
i just,63
you are,63
know that,63
to thank,62
for all,62
will be,61
me and,60
you to,60
this is,60
in my,59
my life,58
sorry i,57
of my,57
all the,57
for me,57
you and,56
what i,56
i do,56
you know,51
have been,50
family and,50
yes i,49
i don't,48
take care,48
for what,48
have to,48
know i,48
am ready,47
stay strong,47
to tell,46
it is,45
am going,44
and the,44
did not,43
but i,43
the pain,42
for your,42
my heart,42
to know,42
see you,42
i ask,41
on the,41
and my,39
you can,39
that is,39
i was,39
to go,38
yes sir,37
hope you,37
there is,37
love them,37
a lot,37
i'm sorry,36
i pray,36
god bless,36
want you,36
tell my,35
i can,35
am not,33
just want,33
care of,33
will see,33
it i,33
and to,32
for being,32
love and,32
be with,32
my friends,32
to do,31
all my,31
love all,31
death row,30
have done,30
this i,30
to forgive,30
say i,30
i can't,29
i thank,29
i could,29
me to,29
is a,28
for you,28
jesus christ,28
know what,28
to apologize,28
the family,28
and all,28
lord jesus,28
i wish,28
in heaven,27
you will,27
it was,27
to see,27
continue to,27
for my,27
that's all,27
i didn't,27
to you,27
with me,27
in your,26
me for,26
hope that,26
is the,26
them i,26
don't know,26
is not,26
i'm ready,26
the world,26
do i,25
you too,25
pain and,25
as i,25
to me,25
keep your,25
the people,24
with the,24
of this,24
we will,24
one of,24
to all,24
have caused,24
that's it,24
your heart,23
ready to,23
the victim's,23
lot of,23
victim's family,23
me home,23
with you,22
and that,22
love ya'll,22
caused you,22
ready warden,22
o k,21
for forgiveness,21
sir i,21
do it,21
when i,21
be strong,21
peace and,21
my love,21
me in,21
what is,21
for everything,21
apologize to,21
thank my,20
my death,20
i appreciate,20
what you,20
in this,20
life and,20
your family,20
do not,20
i got,20
lord i,20
the truth,20
ask for,19
of all,19
take me,19
years i,19
love my,19
i'll be,19
warden i,19
peace i,19
say to,19
who have,19
if i,19
and for,18
there are,18
the best,18
all and,18
i caused,18
and friends,18
have no,18
of your,18
bless you,18
god i,18
ask that,18
life i,18
on death,18
pray that,18
is my,18
so much,18
love to,18
got to,18
because i,17
family for,17
i never,17
if you,17
would have,17
the other,17
you don't,17
know you,17
is no,17
they are,17
find peace,17
out there,17
to get,16
to keep,16
are going,16
been a,16
love y'all,16
tell you,16
pain i,16
my sins,16
be there,16
done i,16
did i,16
here i,16
there for,16
other side,16
now i,16
at peace,16
those who,16
my brothers,16
loved ones,16
from the,15
you you,15
for a,15
heart i,15
part of,15
in their,15
up and,15
at the,15
you get,15
god is,15
to come,15
you find,15
wanted to,15
the death,15
was a,15
when you,15
a good,15
me the,15
i had,15
say that,15
my wife,15
heads up,14
give you,14
people that,14
to make,14
through this,14
the years,14
sorry that,14
the same,14
very much,14
the way,14
i say,14
your heads,14
man i,14
them and,14
i really,14
what happened,14
be in,14
the love,14
the only,14
my soul,14
to give,14
love her,14
holy holy,14
you guys,14
each other,14
it in,14
a better,14
thanks for,14
is all,14
find it,13
friends i,13
your forgiveness,13
can find,13
and you,13
out of,13
am truly,13
peace in,13
warden yes,13
of a,13
with all,13
am at,13
forgiveness i,13
please forgive,13
