trigram phrase,frequency
i love you,311
i would like,121
i am sorry,119
would like to,117
i want to,85
thank you for,81
love you all,79
all of you,58
am sorry for,48
i am ready,47
to my family,44
i am going,44
i hope you,36
like to thank,36
i love them,36
love you i,35
my family i,34
i am not,33
my family and,33
you i love,32
take care of,32
know that i,32
family i love,31
am sorry i,31
want you to,31
i just want,31
i love all,31
like to say,29
i will see,29
that i love,29
i have to,29
i did not,29
for all of,28
and i am,28
that i have,27
yes i do,27
sorry for the,26
want to thank,26
am going to,26
for what i,26
love all of,25
to forgive me,25
you all i,25
to say i,24
that i am,24
i want you,24
want to say,24
you i am,23
a lot of,23
i hope that,23
the victim's family,23
what i did,22
i will be,22
i have caused,22
to know that,22
all of the,21
have to say,21
for the pain,21
love you and,21
just want to,20
sorry for what,20
you to know,20
going to be,20
you have been,20
in my life,20
to tell my,19
and i will,19
you and i,19
i do i,19
i love my,19
yes sir i,19
in my heart,19
i don't know,18
i love ya'll,18
i have done,18
to apologize to,18
on death row,18
all i have,18
like to apologize,17
to say to,17
all of my,17
ready to go,17
to thank my,17
want to tell,17
love you too,17
forgive me for,17
you for your,17
and i love,17
will see you,17
and i hope,17
and i want,16
you for being,16
know i love,16
god bless you,16
the other side,16
take me home,16
family and friends,16
on the other,16
you all and,16
tell my family,16
am ready to,16
in your heart,15
there is no,15
me i love,15
for me i,15
for all the,15
i thank you,14
like to tell,14
i know you,14
and i know,14
i love her,14
am ready warden,14
my life i,14
me and i,14
i love y'all,14
i have no,14
that's all i,14
i know i,13
yes i would,13
please forgive me,13
to the family,13
i am truly,13
that you have,13
keep your heads,13
are going to,13
i pray that,13
of you i,13
i am at,13
you for all,13
be with you,13
the pain and,13
your heads up,12
i ask that,12
find it in,12
forgive me i,12
family i am,12
have caused you,12
to be with,12
the pain i,12
ask that you,12
to the victim's,12
am at peace,12
all of this,12
first of all,12
hope you can,12
my life and,12
you know i,12
every one of,11
i'm sorry i,11
and to my,11
an innocent man,11
i ask for,11
there for me,11
to tell you,11
i am a,11
hope that you,11
what i have,11
apologize to the,11
your family i,11
one of you,11
i don't want,11
thank you i,11
that is all,11
hope you find,11
don't know what,10
i wish i,10
this is a,10
of my life,10
what is happening,10
you on the,10
lord jesus christ,10
ask for forgiveness,10
for being here,10
this i am,10
to the lord,10
pain and suffering,10
thank you warden,10
to thank you,10
done for me,10
to know i,10
the death penalty,10
love them and,10
i have been,10
sorry i am,10
the family of,10
me i am,10
me in the,10
but i am,10
thank all of,9
will be done,9
all i can,9
lot of people,9
see you on,9
i am innocent,9
peace i am,9
you all to,9
am sorry and,9
the pain that,9
not going to,9
i'll see you,9
