word,frequency
love,640
family,280
know,276
thank,253
sorry,219
want,199
would,191
god,187
like,182
say,158
i'm,149
lord,137
life,130
forgive,128
hope,121
going,120
tell,116
see,110
people,110
take,109
yes,108
one,107
peace,103
warden,99
jesus,96
give,89
ya'll,87
done,86
y'all,83
ready,82
death,81
strong,81
ask,81
that's,81
go,79
keep,79
heart,74
father,73
everybody,67
get,67
pain,67
us,65
man,63
find,62
right,61
friends,60
let,60
home,59
years,58
stay,57
come,57
please,56
care,55
christ,54
pray,54
time,52
back,52
forgiveness,52
got,52
always,49
never,49
caused,49
everything,47
nothing,45
may,45
could,45
much,44
sir,44
mom,43
innocent,43
i'll,43
everyone,42
first,42
make,42
bless,42
way,42
can't,42
support,41
i've,40
apologize,40
good,40
loved,39
world,39
lot,38
heaven,38
row,37
day,36
continue,35
tonight,34
still,34
things,33
said,32
must,32
sister,32
really,31
wish,31
today,31
son,31
something,30
mr,30
mother,28
thing,28
happened,28
hate,27
anything,27
well,27
last,27
think,27
wrong,27
hurt,26
thanks,26
murder,26
name,26
thy,26
spirit,26
help,26
allah,26
brother,26
kill,26
statement,26
brothers,26
appreciate,25
look,25
made,25
texas,25
ever,25
feel,25
truth,24
holy,24
justice,24
need,24
mercy,24
truly,24
put,24
understand,24
place,24
alright,23
every,23
long,23
victim's,23
wanted,23
better,23
ones,22
goodbye,22
guys,22
sins,22
live,22
believe,22
hold,21
told,21
k,21
closure,21
soul,20
praise,20
side,20
kids,20
best,20
move,20
ah,20
killing,20
even,20
free,19
crime,19
stop,19
else,19
amen,19
also,19
die,19
gonna,19
john,19
bring,19
let's,19
many,18
mean,18
anyone,18
remember,18
hearts,18
happy,18
irene,18
part,18
coming,18
state,17
witness,17
killed,17
words,17
strength,17
head,17
wife,17
change,17
leave,17
talk,17
sure,17
trial,16
happening,16
person,16
dad,16
okay,16
end,16
beautiful,16
real,16
heads,16
though,16
house,15
anybody,15
bye,15
black,15
jack,15
suffering,15
forward,15
baby,15
shall,15
thought,15
gave,15
evil,15
fight,15
without,15
momma,15
system,15
two,15
call,15
ms,15
little,15
mama,14
brought,14
children,14
forgiven,14
waiting,14
great,14
took,14
court,14
faith,14
earth,14
daughter,14
letter,14
hear,14
days,14
friend,14
chance,13
reason,13
mad,13
power,13
asked,13
goes,13
point,13
america,13
ain't,13
given,13
forever,13
loving,12
deserve,12
taking,12
comfort,12
died,12
together,12
saying,12
fear,12
lost,12
bad,12
police,12
standing,12
thou,12
ahead,11
work,11
ago,11
blessing,11
execution,11
lie,11
eyes,11
commit,11
rest,11
walk,11
written,11
happen,11
three,11
address,11
someone,11
penalty,11
lynching,11
mine,11
later,11
forget,11
lives,11
mrs,10
worry,10
ok,10
learn,10
another,10
face,10
show,10
helped,10
nobody,10
someday,10
past,10
shown,10
guess,10
glory,10
none,10
knows,10
kingdom,10
showed,10
cannot,10
able,10
left,10
mistake,10
i'd,10
loves,10
came,10
extend,9
meant,9
oh,9
cry,9
almighty,9
god's,9
country,9
hands,9
around,9
yall,9
carry,9
human,9
grace,9
hellip,9
stand,9
prison,9
giving,9
hard,9
sisters,9
brings,9
mary,9
there's,9
looking,9
knew,9
parents,9
gone,9
prayer,9
taken,9
officer,9
fine,8
somebody,8
supporters,8
evidence,8
away,8
big,8
chaplain,8
supported,8
shot,8
friendship,8
use,8
promise,8
watch,8
mistakes,8
behind,8
bitterness,8
body,8
we're,8
cause,8
heavenly,8
went,8
kathy,8
honor,8
wonderful,8
return,8
donna,8
loss,8
